date,year,quarter_quarterly,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1593561600000,2020,3,2,734150,1805,735955
1593561600000,2020,3,3,311179,664,311843
1593561600000,2020,3,4,479363,385,479748
1593561600000,2020,3,5,455048,1107,456155
1593561600000,2020,3,6,2489778,34168,2523946
1593561600000,2020,3,7,332913,799,333712
1593561600000,2020,3,8,39470,81,39551
1593561600000,2020,3,9,743461,9407,752868
1593561600000,2020,3,10,352592,16502,369094
1593561600000,2020,3,11,750392,5908,756300
1593561600000,2020,3,12,493116,17930,511046
1593561600000,2020,3,13,589298,1397,590695
1593561600000,2020,3,14,1603337,4252,1607589
1593561600000,2020,3,15,63980,2544,66524
1593561600000,2020,3,16,55621,4053,59674
1593561600000,2020,3,18,10292122,101865,10393987
1593561600000,2020,3,19,9125158,76911,9202069
1601510400000,2020,4,1,1061537,1612,1063149
1601510400000,2020,4,2,548161,1391,549552
1601510400000,2020,4,3,100435,304,100739
1601510400000,2020,4,4,307297,343,307640
1601510400000,2020,4,5,170265,4375,174640
1601510400000,2020,4,6,1837415,19065,1856480
1601510400000,2020,4,7,307436,1634,309070
1601510400000,2020,4,8,44391,133,44524
1601510400000,2020,4,9,669106,6905,676011
1601510400000,2020,4,10,156101,3598,159699
1601510400000,2020,4,11,882843,6294,889137
1601510400000,2020,4,12,369404,33333,402737
1601510400000,2020,4,13,330716,988,331704
1601510400000,2020,4,14,1129845,11991,1141836
1601510400000,2020,4,15,41446,1703,43149
1601510400000,2020,4,16,25404,441,25845
1601510400000,2020,4,18,7981802,94110,8075912
1601510400000,2020,4,19,6901412,82515,6983927
1609459200000,2021,1,1,47888,1233,49121
1609459200000,2021,1,2,304820,925,305745
1609459200000,2021,1,3,35523,264,35787
1609459200000,2021,1,4,24386,167,24553
1609459200000,2021,1,5,101264,1406,102670
1609459200000,2021,1,6,623012,2388,625401
1609459200000,2021,1,7,202013,891,202904
1609459200000,2021,1,8,26500,49,26549
1609459200000,2021,1,9,72810,2176,74986
1609459200000,2021,1,10,36715,697,37412
1609459200000,2021,1,11,428640,2057,430697
1609459200000,2021,1,12,101424,7068,108492
1609459200000,2021,1,13,154620,920,155540
1609459200000,2021,1,14,30375,5202,35577
1609459200000,2021,1,15,15161,643,15804
1609459200000,2021,1,16,28008,196,28204
1609459200000,2021,1,18,2233159,26280,2259439
1609459200000,2021,1,19,1752643,22884,1775527
1617235200000,2021,2,1,491206,781,491987
1617235200000,2021,2,2,173870,106,173976
1617235200000,2021,2,3,25514,192,25706
1617235200000,2021,2,4,167718,487,168205
1617235200000,2021,2,5,54946,1248,56194
1617235200000,2021,2,6,433564,1576,435140
1617235200000,2021,2,7,98407,295,98702
1617235200000,2021,2,8,18478,25,18502
1617235200000,2021,2,9,297890,2640,300530
1617235200000,2021,2,10,123801,388,124189
1617235200000,2021,2,11,560014,1384,561397
1617235200000,2021,2,12,218606,13131,231737
1617235200000,2021,2,13,113923,151,114074
1617235200000,2021,2,14,309221,5660,314880
1617235200000,2021,2,15,49559,396,49955
1617235200000,2021,2,16,26951,845,27796
1617235200000,2021,2,18,3163667,29300,3192967
1617235200000,2021,2,19,2430294,27133,2457427
1625097600000,2021,3,1,258587,4154,262741
1625097600000,2021,3,2,74796,249,75045
1625097600000,2021,3,3,119290,410,119700
1625097600000,2021,3,4,55474,6210,61684
1625097600000,2021,3,5,68218,1270,69488
1625097600000,2021,3,6,77464,132,77596
1625097600000,2021,3,7,141039,497,141536
1625097600000,2021,3,8,5326,3,5329
1625097600000,2021,3,9,66634,1178,67812
1625097600000,2021,3,10,144617,314,144931
1625097600000,2021,3,11,884317,1942,886259
1625097600000,2021,3,12,369025,15913,384938
1625097600000,2021,3,13,305432,211,305643
1625097600000,2021,3,14,368799,11863,380662
1625097600000,2021,3,15,31322,119,31441
1625097600000,2021,3,16,21185,127,21312
1625097600000,2021,3,18,2991525,44592,3036117
1625097600000,2021,3,19,1931269,42217,19731486
1633046400000,2021,4,1,1145411,4013,1149424
1633046400000,2021,4,2,992373,6610,998983
1633046400000,2021,4,3,293274,924,294198
1633046400000,2021,4,4,659108,3581,662689
1633046400000,2021,4,5,414221,4587,418808
1633046400000,2021,4,6,777812,3726,781538
1633046400000,2021,4,7,828841,2871,831712
1633046400000,2021,4,8,49062,11,49073
