date,year,quarter_quarterly,state_id,aor_quarter
1664582400000,2022,4,5,45.2
1664582400000,2022,4,6,66.8
1664582400000,2022,4,7,53.2
1664582400000,2022,4,8,44.8
1664582400000,2022,4,9,56.2
1664582400000,2022,4,10,46.2
1664582400000,2022,4,11,51.2
1664582400000,2022,4,12,49.2
1664582400000,2022,4,13,43.7
1664582400000,2022,4,14,61.9
1664582400000,2022,4,15,33.5
1664582400000,2022,4,16,58.3
1664582400000,2022,4,18,53.7
1672531200000,2023,1,1,45.9
1672531200000,2023,1,2,42.5
1672531200000,2023,1,3,43.3
1672531200000,2023,1,4,43.4
1672531200000,2023,1,5,37.3
1672531200000,2023,1,6,70.0
1672531200000,2023,1,7,43.4
1672531200000,2023,1,8,43.6
1672531200000,2023,1,9,47.0
1672531200000,2023,1,10,46.2
1672531200000,2023,1,11,41.6
1672531200000,2023,1,12,47.2
1672531200000,2023,1,13,44.9
1672531200000,2023,1,14,58.1
1672531200000,2023,1,15,30.9
1672531200000,2023,1,16,54.4
1672531200000,2023,1,18,50.1
1680307200000,2023,2,1,48.9
1680307200000,2023,2,2,40.5
1680307200000,2023,2,3,40.4
1680307200000,2023,2,4,39.7
1680307200000,2023,2,5,36.3
1680307200000,2023,2,6,75.8
1680307200000,2023,2,7,44.5
1680307200000,2023,2,8,36.8
1680307200000,2023,2,9,51.4
1680307200000,2023,2,10,46.5
1680307200000,2023,2,11,42.1
1680307200000,2023,2,12,46.9
1680307200000,2023,2,13,44.0
1680307200000,2023,2,14,56.4
1680307200000,2023,2,15,31.4
1680307200000,2023,2,16,53.6
1680307200000,2023,2,18,50.9
1688169600000,2023,3,1,53.3
1688169600000,2023,3,2,43.0
1688169600000,2023,3,3,41.9
1688169600000,2023,3,4,46.2
1688169600000,2023,3,5,44.6
1688169600000,2023,3,6,74.0
1688169600000,2023,3,7,47.8
1688169600000,2023,3,8,40.4
1688169600000,2023,3,9,54.2
1688169600000,2023,3,10,50.0
1688169600000,2023,3,11,47.5
1688169600000,2023,3,12,53.4
1688169600000,2023,3,13,41.3
