date,year,quarter_cumulative,state_id,aor_cumulative
1704067200000,2024,1,7,46.4
1704067200000,2024,1,8,43.3
1704067200000,2024,1,9,53.2
1704067200000,2024,1,10,52.2
1704067200000,2024,1,11,42.7
1704067200000,2024,1,12,47.0
1704067200000,2024,1,13,41.3
1704067200000,2024,1,14,61.1
1704067200000,2024,1,15,32.2
1704067200000,2024,1,16,56.0
1704067200000,2024,1,18,52.6
1711929600000,2024,2,1,49.2
1711929600000,2024,2,2,44.8
1711929600000,2024,2,3,43.6
1711929600000,2024,2,4,42.9
1711929600000,2024,2,5,37.8
1711929600000,2024,2,6,74.6
1711929600000,2024,2,7,44.7
1711929600000,2024,2,8,40.8
1711929600000,2024,2,9,53.5
1711929600000,2024,2,10,50.0
1711929600000,2024,2,11,43.2
1711929600000,2024,2,12,47.7
1711929600000,2024,2,13,44.7
1711929600000,2024,2,14,60.3
1711929600000,2024,2,15,32.4
1711929600000,2024,2,16,55.4
1711929600000,2024,2,18,52.6
1719792000000,2024,3,1,51.5
1719792000000,2024,3,2,46.2
1719792000000,2024,3,3,45.3
1719792000000,2024,3,4,44.0
1719792000000,2024,3,5,41.0
1719792000000,2024,3,6,75.3
1719792000000,2024,3,7,45.9
1719792000000,2024,3,8,40.6
1719792000000,2024,3,9,55.6
1719792000000,2024,3,10,52.4
1719792000000,2024,3,11,47.2
1719792000000,2024,3,12,50.8
1719792000000,2024,3,13,47.6
1719792000000,2024,3,14,61.2
1719792000000,2024,3,15,35.0
1719792000000,2024,3,16,55.7
1719792000000,2024,3,18,54.4
1727740800000,2024,5,1,52.3
1727740800000,2024,5,2,46.6
1727740800000,2024,5,3,43.2
1727740800000,2024,5,4,45.4
1727740800000,2024,5,5,42.2
1727740800000,2024,5,6,75.6
1727740800000,2024,5,7,46.9
1727740800000,2024,5,8,41.0
1727740800000,2024,5,9,56.8
1727740800000,2024,5,10,51.6
1727740800000,2024,5,11,47.7
1727740800000,2024,5,12,51.6
1727740800000,2024,5,13,46.3
1727740800000,2024,5,14,62.6
1727740800000,2024,5,15,37.0
1727740800000,2024,5,16,56.5
1727740800000,2024,5,18,54.9
1735689600000,2025,1,1,48.0
1735689600000,2025,1,2,49.1
1735689600000,2025,1,3,38.3
1735689600000,2025,1,4,41.0
1735689600000,2025,1,5,38.3
1735689600000,2025,1,6,73.6
1735689600000,2025,1,7,38.7
1735689600000,2025,1,8,35.1
1735689600000,2025,1,9,53.6
1735689600000,2025,1,10,53.8
1735689600000,2025,1,11,40.7
1735689600000,2025,1,12,49.1
1735689600000,2025,1,13,36.7
1735689600000,2025,1,14,61.4
1735689600000,2025,1,15,36.3
1735689600000,2025,1,16,56.7
1735689600000,2025,1,18,52.3
1743465600000,2025,2,1,51.9
1743465600000,2025,2,2,49.7
1743465600000,2025,2,3,41.8
1743465600000,2025,2,4,42.8
1743465600000,2025,2,5,39.9
1743465600000,2025,2,6,75.2
1743465600000,2025,2,7,42.8
1743465600000,2025,2,8,41.5
1743465600000,2025,2,9,54.8
1743465600000,2025,2,10,52.0
1743465600000,2025,2,11,43.8
1743465600000,2025,2,12,50.8
1743465600000,2025,2,13,41.5
1743465600000,2025,2,14,63.6
1743465600000,2025,2,15,38.4
1743465600000,2025,2,16,56.0
1743465600000,2025,2,18,54.1
1751328000000,2025,3,1,53.7
1751328000000,2025,3,2,50.8
1751328000000,2025,3,3,45.6
1751328000000,2025,3,4,44.5
1751328000000,2025,3,5,43.0
1751328000000,2025,3,6,76.2
1751328000000,2025,3,7,45.6
1751328000000,2025,3,8,41.3
1751328000000,2025,3,9,57.6
1751328000000,2025,3,10,54.4
1751328000000,2025,3,11,46.9
1751328000000,2025,3,12,53.6
1751328000000,2025,3,13,46.5
1751328000000,2025,3,14,65.4
1751328000000,2025,3,15,39.2
1751328000000,2025,3,16,55.9
1751328000000,2025,3,18,56.3
1759276800000,2025,5,1,54.2
1759276800000,2025,5,2,50.9
1759276800000,2025,5,3,43.5
1759276800000,2025,5,4,46.1
1759276800000,2025,5,5,44.2
1759276800000,2025,5,6,76.3
1759276800000,2025,5,7,46.4
1759276800000,2025,5,8,41.7
1759276800000,2025,5,9,58.6
1759276800000,2025,5,10,54.1
1759276800000,2025,5,11,47.3
1759276800000,2025,5,12,54.8
1759276800000,2025,5,13,45.6
1759276800000,2025,5,14,66.9
1759276800000,2025,5,15,39.4
1759276800000,2025,5,16,56.0
1759276800000,2025,5,18,56.8
1767225600000,2026,1,1,45.2
1767225600000,2026,1,2,51.9
1767225600000,2026,1,3,33.8
1767225600000,2026,1,4,36.7
1767225600000,2026,1,5,39.0
1767225600000,2026,1,6,70.5
1767225600000,2026,1,7,43.0
1767225600000,2026,1,8,33.5
1767225600000,2026,1,9,55.5
1767225600000,2026,1,10,51.9
1767225600000,2026,1,11,39.0
1767225600000,2026,1,12,50.7
1767225600000,2026,1,13,34.4
1767225600000,2026,1,14,60.7
1767225600000,2026,1,15,30.9
1767225600000,2026,1,16,54.9
1767225600000,2026,1,18,51.5
