date,year,quarter_cumulative,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1609459200000,2021,1,2,304820,925,305745
1609459200000,2021,1,3,35523,264,35787
1609459200000,2021,1,4,24386,167,24553
1609459200000,2021,1,5,101264,1406,102670
1609459200000,2021,1,6,623012,2388,625401
1609459200000,2021,1,7,202013,891,202904
1609459200000,2021,1,8,26500,49,26549
1609459200000,2021,1,9,72810,2176,74986
1609459200000,2021,1,10,36715,701,37412
1609459200000,2021,1,11,428640,2057,430697
1609459200000,2021,1,12,101424,7068,108492
1609459200000,2021,1,13,154620,920,155540
1609459200000,2021,1,14,30375,5202,35577
1609459200000,2021,1,15,15161,643,15804
1609459200000,2021,1,16,28008,196,28204
1609459200000,2021,1,18,2233159,26280,2259439
1609459200000,2021,1,19,1752643,22884,1775529
1617235200000,2021,2,1,539094,2013,541107
1617235200000,2021,2,2,478690,1031,479720
1617235200000,2021,2,3,61037,456,61493
1617235200000,2021,2,4,192104,654,192758
1617235200000,2021,2,5,156210,2654,158864
1617235200000,2021,2,6,1056576,3773,1060350
1617235200000,2021,2,7,300420,1186,301606
1617235200000,2021,2,8,44978,74,45051
1617235200000,2021,2,9,370700,4816,375516
1617235200000,2021,2,10,160516,1089,161604
1617235200000,2021,2,11,988654,3440,992094
1617235200000,2021,2,12,320030,20200,340230
1617235200000,2021,2,13,268543,1071,269613
1617235200000,2021,2,14,339596,10861,350457
1617235200000,2021,2,15,64720,1039,65759
1617235200000,2021,2,16,54959,1041,56000
1617235200000,2021,2,18,5396826,55393,5452219
1617235200000,2021,2,19,4182936,49826,4232762
1625097600000,2021,3,1,797682,6167,803849
1625097600000,2021,3,2,553487,1280,554767
1625097600000,2021,3,3,180327,866,181193
1625097600000,2021,3,4,247578,6864,254442
1625097600000,2021,3,5,224428,3924,228352
1625097600000,2021,3,6,1134040,3905,1137945
1625097600000,2021,3,7,441460,1683,443143
1625097600000,2021,3,8,50304,77,50381
1625097600000,2021,3,9,437335,5994,443329
1625097600000,2021,3,10,305133,1403,306536
1625097600000,2021,3,11,1872971,5382,1878353
1625097600000,2021,3,12,689056,36113,725169
1625097600000,2021,3,13,573976,1282,575258
1625097600000,2021,3,14,708395,22724,731119
1625097600000,2021,3,15,96042,1158,97200
1625097600000,2021,3,16,76144,1168,77312
1625097600000,2021,3,18,8388358,99985,8488343
1625097600000,2021,3,19,6114212,92043,6206255
1633046400000,2021,5,1,1943093,10180,1953273
1633046400000,2021,5,2,1545860,7890,1553750
1633046400000,2021,5,3,473601,1790,475391
1633046400000,2021,5,4,906686,10445,917131
1633046400000,2021,5,5,638649,8511,647160
1633046400000,2021,5,6,1911852,7631,1919483
1633046400000,2021,5,7,1270301,4554,1274855
1633046400000,2021,5,8,99366,88,99454
1633046400000,2021,5,9,1309198,11190,1320388
1633046400000,2021,5,10,1255960,3246,1259206
1633046400000,2021,5,11,3074724,9466,3084190
1633046400000,2021,5,12,1672198,66829,1739027
1633046400000,2021,5,13,1222617,1677,1224294
1633046400000,2021,5,14,2269693,41797,2311490
1633046400000,2021,5,15,146331,2003,148334
1633046400000,2021,5,16,131950,1443,133393
1633046400000,2021,5,18,19872079,188740,20060819
1633046400000,2021,5,19,15395064,174025,15569089
1640995200000,2022,1,1,928703,14127,942830
1640995200000,2022,1,2,539119,10012,549131
1640995200000,2022,1,3,223797,1300,225097
1640995200000,2022,1,4,506180,4916,511096
1640995200000,2022,1,5,231641,5730,237371
1640995200000,2022,1,6,1293345,5953,1299298
1640995200000,2022,1,7,684330,2810,687140
1640995200000,2022,1,8,55621,451,56072
1640995200000,2022,1,9,605618,13371,618989
1640995200000,2022,1,10,763724,2852,766576
1640995200000,2022,1,11,970337,8177,978514
1640995200000,2022,1,12,591364,62217,653581
1640995200000,2022,1,13,546383,1610,547993
1640995200000,2022,1,14,965970,39725,1005695
1640995200000,2022,1,15,53992,2600,56592
1640995200000,2022,1,16,57038,656,57694
1640995200000,2022,1,18,9017162,176507,9193669
1640995200000,2022,1,19,7229109,162878,7391987
1648771200000,2022,2,1,2541676,495923,3037599
1648771200000,2022,2,2,1419745,104372,1524117
1648771200000,2022,2,3,590866,8790,599656
1648771200000,2022,2,4,1374637,143078,1517715
1648771200000,2022,2,5,724710,26274,750984
1648771200000,2022,2,6,3773668,478393,4252061
1648771200000,2022,2,7,1823665,77929,1901594
1648771200000,2022,2,8,117456,1712,119168
1648771200000,2022,2,9,1767731,234725,2002456
1648771200000,2022,2,10,2105942,103877,2209819
1648771200000,2022,2,11,2545002,91053,2636055
1648771200000,2022,2,12,2012447,463033,2475480
1648771200000,2022,2,13,1274666,16471,1291137
1648771200000,2022,2,14,3239005,923683,4162688
1648771200000,2022,2,15,151105,11044,162149
1648771200000,2022,2,16,154534,15224,169758
1648771200000,2022,2,18,25616855,3195581,28812436
1648771200000,2022,2,19,20814806,2989607,23804413
1656633600000,2022,3,1,4162868,1158100,5320968
1656633600000,2022,3,2,2257274,340598,2597872
1656633600000,2022,3,3,955870,23998,979868
1656633600000,2022,3,4,2282416,303274,2585690
1656633600000,2022,3,5,1241951,47825,1289776
